epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,912.136,0.30844,0.12476,0.0018,1,0.99577,0.995,0.99046,0.18003,0.06758,0.0016,0.0011684,0.0011684,0.0011684
44,932.996,0.32023,0.1269,0.0019,1,0.99463,0.995,0.99132,0.17131,0.06506,0.0016,0.0011486,0.0011486,0.0011486
45,953.772,0.31333,0.12246,0.00189,0.99282,0.99531,0.99495,0.98955,0.19747,0.07865,0.00189,0.0011288,0.0011288,0.0011288
46,974.403,0.30607,0.12022,0.00182,1,0.99471,0.995,0.99174,0.1586,0.06503,0.00149,0.001109,0.001109,0.001109
47,994.992,0.30583,0.12214,0.00185,0.99641,0.99687,0.99498,0.99037,0.16073,0.06598,0.00152,0.0010892,0.0010892,0.0010892
48,1015.63,0.30537,0.12143,0.00185,0.99843,0.99341,0.995,0.99186,0.17522,0.06731,0.00158,0.0010694,0.0010694,0.0010694
49,1036.25,0.31374,0.12551,0.00188,0.99843,0.99676,0.995,0.991,0.17283,0.06384,0.00166,0.0010496,0.0010496,0.0010496
50,1056.86,0.30093,0.1187,0.00178,0.99683,0.98526,0.9948,0.99114,0.16019,0.07723,0.00147,0.0010298,0.0010298,0.0010298
51,1077.55,0.29105,0.11334,0.00174,0.99295,0.99531,0.99492,0.99175,0.15356,0.06773,0.00144,0.00101,0.00101,0.00101
52,1098.17,0.29665,0.12122,0.00174,0.99598,0.99531,0.995,0.99192,0.15524,0.06488,0.00144,0.0009902,0.0009902,0.0009902
53,1119,0.29742,0.12064,0.00175,1,0.99196,0.995,0.99131,0.14922,0.05954,0.00136,0.0009704,0.0009704,0.0009704
54,1139.64,0.29111,0.1176,0.00172,0.99843,0.99822,0.99498,0.99221,0.15255,0.06194,0.00143,0.0009506,0.0009506,0.0009506
55,1160.29,0.28901,0.11249,0.00168,0.99687,0.9953,0.995,0.99233,0.18416,0.06903,0.00157,0.0009308,0.0009308,0.0009308
56,1180.95,0.28673,0.1125,0.00167,0.99532,0.99813,0.995,0.99107,0.15283,0.06419,0.00141,0.000911,0.000911,0.000911
57,1201.62,0.28199,0.11008,0.00165,0.99376,0.99767,0.99497,0.99355,0.14657,0.06068,0.00134,0.0008912,0.0008912,0.0008912
58,1222.41,0.28064,0.10936,0.00168,0.99832,0.99687,0.995,0.99192,0.14346,0.05425,0.0014,0.0008714,0.0008714,0.0008714
59,1243.05,0.28089,0.10881,0.00164,0.99843,0.99813,0.995,0.99161,0.15544,0.05726,0.0015,0.0008516,0.0008516,0.0008516
60,1263.79,0.27423,0.11088,0.00161,0.99836,0.99218,0.99407,0.99155,0.14932,0.06224,0.00134,0.0008318,0.0008318,0.0008318
61,1285.39,0.27289,0.10703,0.00158,0.99843,0.99518,0.995,0.99219,0.14776,0.06326,0.00137,0.000812,0.000812,0.000812
62,1306.78,0.2703,0.10959,0.00159,0.99377,0.99919,0.99497,0.99229,0.16132,0.06443,0.00149,0.0007922,0.0007922,0.0007922
63,1327.51,0.27117,0.10927,0.00157,1,0.99517,0.995,0.99283,0.14885,0.0592,0.00138,0.0007724,0.0007724,0.0007724
64,1348.28,0.27069,0.10392,0.00158,0.99709,0.99531,0.99498,0.99278,0.15493,0.06056,0.00142,0.0007526,0.0007526,0.0007526
65,1368.92,0.26857,0.10588,0.00158,0.99743,0.99531,0.995,0.99269,0.13445,0.05449,0.00121,0.0007328,0.0007328,0.0007328
66,1389.69,0.2625,0.10611,0.00152,0.99842,0.9902,0.99498,0.99236,0.1497,0.06102,0.00136,0.000713,0.000713,0.000713
67,1410.24,0.26393,0.10362,0.00154,0.9948,0.99374,0.99495,0.9918,0.15014,0.06492,0.00131,0.0006932,0.0006932,0.0006932
68,1431.19,0.25478,0.10322,0.00149,0.99687,0.99572,0.99497,0.99239,0.13859,0.06152,0.00121,0.0006734,0.0006734,0.0006734
69,1452.02,0.26271,0.10411,0.00153,0.99843,0.99421,0.995,0.99242,0.13135,0.05569,0.00115,0.0006536,0.0006536,0.0006536
70,1472.66,0.2637,0.10366,0.00155,0.99687,0.99816,0.995,0.99262,0.13372,0.05156,0.00121,0.0006338,0.0006338,0.0006338
71,1493.54,0.25945,0.10466,0.00154,0.99843,0.99769,0.995,0.99323,0.13174,0.05206,0.00117,0.000614,0.000614,0.000614
72,1514.27,0.25337,0.0983,0.00147,0.99977,0.99531,0.995,0.9929,0.13432,0.05229,0.0012,0.0005942,0.0005942,0.0005942
