epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1247.92,0.27037,0.29167,0.80749,0.9068,0.62061,0.71923,0.71445,0.16578,0.26581,0.76369,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1286.26,0.26918,0.29351,0.80667,0.91563,0.61604,0.72059,0.71608,0.15981,0.2591,0.76082,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1325.76,0.26882,0.29099,0.80638,0.92202,0.60986,0.73078,0.72719,0.15944,0.25571,0.76158,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1363.18,0.26589,0.28807,0.80705,0.92136,0.61344,0.73369,0.72968,0.15123,0.24452,0.75943,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1400.83,0.26146,0.28259,0.80568,0.92715,0.61306,0.73206,0.728,0.15342,0.24258,0.75946,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1438.13,0.26312,0.28531,0.80668,0.92722,0.61492,0.73104,0.72693,0.16077,0.24107,0.76105,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1476.94,0.26209,0.28355,0.80509,0.91445,0.61622,0.73592,0.73207,0.15018,0.24042,0.75969,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1515.84,0.26137,0.28176,0.80554,0.92042,0.61692,0.72247,0.71908,0.14802,0.23763,0.75888,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1554.49,0.25804,0.28114,0.80525,0.91735,0.61932,0.73675,0.7333,0.14679,0.23205,0.75769,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1592.89,0.25488,0.27785,0.80377,0.91958,0.61738,0.7198,0.71646,0.1502,0.23705,0.75861,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1631.38,0.25427,0.27442,0.80123,0.93438,0.6115,0.73958,0.73561,0.14492,0.23268,0.75757,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1670.56,0.25435,0.27441,0.80426,0.91926,0.61578,0.73474,0.73147,0.14333,0.23338,0.75733,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1709.65,0.24926,0.26927,0.80275,0.93072,0.61434,0.7418,0.73873,0.14256,0.22553,0.7571,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1748.16,0.25025,0.26911,0.80293,0.93047,0.61145,0.74079,0.73805,0.1422,0.23464,0.75766,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1786.61,0.24909,0.26629,0.80252,0.91714,0.62031,0.74452,0.74143,0.13699,0.22994,0.75673,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1825.84,0.24692,0.26501,0.80196,0.9434,0.60721,0.74155,0.73811,0.14413,0.2315,0.75791,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1865.3,0.24511,0.26443,0.8009,0.91201,0.62611,0.74222,0.73906,0.13609,0.22406,0.75631,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1904.11,0.24347,0.26384,0.80086,0.92316,0.62064,0.74286,0.73961,0.13698,0.23255,0.75551,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1942.37,0.24434,0.26115,0.80133,0.91722,0.61875,0.74125,0.73847,0.13797,0.23691,0.755,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1980.73,0.24269,0.26111,0.80093,0.93029,0.61665,0.74462,0.74217,0.13577,0.22308,0.7569,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2020.15,0.24081,0.25705,0.80073,0.9299,0.61721,0.74789,0.74542,0.13768,0.23229,0.75663,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2059.63,0.23699,0.25416,0.80057,0.92023,0.62155,0.74648,0.74365,0.13894,0.23194,0.75599,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2097.92,0.23724,0.25401,0.80109,0.91848,0.62395,0.75052,0.74754,0.13354,0.22342,0.75635,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2136.43,0.23436,0.25101,0.7995,0.9259,0.61896,0.74564,0.74272,0.13338,0.22628,0.75549,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2175.17,0.23421,0.2477,0.79934,0.92992,0.61547,0.74617,0.74345,0.13238,0.22066,0.75522,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2214.79,0.23361,0.24756,0.8003,0.92143,0.62049,0.75042,0.74788,0.12926,0.21815,0.75323,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
