epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1934.62,0.35621,0.71079,0.00157,0.85223,0.62839,0.77634,0.76905,0.20628,0.64068,0.00142,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1992.63,0.35742,0.71209,0.00155,0.85642,0.63884,0.78178,0.77299,0.21116,0.62421,0.00145,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2055.31,0.35921,0.70931,0.00158,0.875,0.62817,0.78978,0.78341,0.19859,0.60576,0.00137,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2113.5,0.35459,0.7054,0.00154,0.90586,0.61417,0.76404,0.75662,0.21405,0.65603,0.00146,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2171.27,0.35031,0.70498,0.00151,0.9057,0.6186,0.78118,0.77421,0.19819,0.63107,0.00141,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2233.29,0.35212,0.69807,0.00153,0.89176,0.62377,0.78739,0.78096,0.18833,0.62176,0.00132,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2290.71,0.35174,0.70647,0.00152,0.87503,0.62152,0.78627,0.78013,0.19211,0.63043,0.00136,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2347.48,0.34722,0.69969,0.00151,0.89156,0.63016,0.78838,0.78224,0.18154,0.619,0.00127,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2409.03,0.34551,0.69976,0.00151,0.86243,0.63227,0.78674,0.78075,0.19304,0.65562,0.00137,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2466.34,0.34156,0.69522,0.0015,0.90839,0.61755,0.7847,0.77876,0.18483,0.61449,0.00133,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2523.6,0.3407,0.69136,0.00147,0.90593,0.61363,0.78742,0.78229,0.17418,0.62764,0.00125,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2584.28,0.33911,0.69193,0.00144,0.90161,0.61908,0.78492,0.77916,0.18423,0.60406,0.00128,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2642.25,0.33331,0.68769,0.00143,0.89618,0.62219,0.77862,0.77402,0.17251,0.62046,0.0012,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
