epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,657.382,0.2903,0.19078,0.82959,1,0.99833,0.995,0.99142,0.16988,0.11979,0.77672,0.0011684,0.0011684,0.0011684
44,672.61,0.28913,0.19149,0.83104,0.99984,0.99687,0.995,0.99251,0.16339,0.11693,0.77408,0.0011486,0.0011486,0.0011486
45,687.759,0.28672,0.19196,0.83253,1,0.99834,0.995,0.99157,0.16382,0.11855,0.7756,0.0011288,0.0011288,0.0011288
46,702.918,0.28607,0.19097,0.83012,1,0.99826,0.995,0.99082,0.15842,0.11148,0.77232,0.001109,0.001109,0.001109
47,717.912,0.27561,0.18688,0.82484,1,0.99839,0.995,0.99263,0.15694,0.1106,0.77311,0.0010892,0.0010892,0.0010892
48,733.035,0.28281,0.19235,0.83057,1,0.99812,0.995,0.99111,0.1627,0.11609,0.77487,0.0010694,0.0010694,0.0010694
49,748.057,0.28361,0.19029,0.83061,1,0.99823,0.995,0.9917,0.16539,0.11598,0.77531,0.0010496,0.0010496,0.0010496
50,763.153,0.27739,0.18695,0.82612,1,0.99836,0.995,0.99225,0.15704,0.10883,0.77418,0.0010298,0.0010298,0.0010298
51,778.218,0.27729,0.18269,0.82994,1,0.99834,0.995,0.9919,0.15673,0.11107,0.77471,0.00101,0.00101,0.00101
52,793.392,0.27962,0.18468,0.8287,1,0.99834,0.995,0.99035,0.16116,0.11234,0.77516,0.0009902,0.0009902,0.0009902
53,808.381,0.27378,0.18481,0.82741,0.99982,0.99687,0.995,0.99265,0.15256,0.10675,0.77062,0.0009704,0.0009704,0.0009704
54,823.397,0.26781,0.17932,0.82624,1,0.99834,0.995,0.99231,0.15545,0.10747,0.77275,0.0009506,0.0009506,0.0009506
55,838.467,0.27023,0.17996,0.82584,0.99991,0.99687,0.995,0.99047,0.16619,0.11132,0.77613,0.0009308,0.0009308,0.0009308
56,853.61,0.26701,0.17841,0.82848,1,0.99841,0.995,0.99304,0.14819,0.10276,0.77287,0.000911,0.000911,0.000911
57,868.624,0.26596,0.17485,0.82489,1,0.99832,0.995,0.99317,0.14847,0.10325,0.77165,0.0008912,0.0008912,0.0008912
58,883.839,0.26399,0.17571,0.82732,0.99977,0.99687,0.995,0.99202,0.14863,0.10133,0.77171,0.0008714,0.0008714,0.0008714
59,898.953,0.26337,0.1727,0.82373,0.99989,0.99687,0.995,0.99222,0.14571,0.10103,0.77142,0.0008516,0.0008516,0.0008516
60,914.032,0.26075,0.17349,0.82527,1,0.99832,0.995,0.9925,0.1428,0.09772,0.77143,0.0008318,0.0008318,0.0008318
61,929.142,0.26197,0.17129,0.82343,1,0.99836,0.995,0.99225,0.1451,0.10289,0.77149,0.000812,0.000812,0.000812
62,944.412,0.26066,0.17079,0.8268,0.99985,1,0.995,0.99274,0.14359,0.09895,0.77078,0.0007922,0.0007922,0.0007922
63,959.606,0.25847,0.16983,0.82449,1,0.99832,0.995,0.99259,0.14101,0.09437,0.77132,0.0007724,0.0007724,0.0007724
64,974.657,0.25442,0.16637,0.82111,1,0.9984,0.995,0.9924,0.14493,0.09819,0.77201,0.0007526,0.0007526,0.0007526
65,989.741,0.25892,0.17026,0.82629,1,0.99831,0.995,0.9921,0.14257,0.09707,0.77139,0.0007328,0.0007328,0.0007328
66,1004.92,0.25125,0.16356,0.82071,1,0.99998,0.995,0.99231,0.14053,0.0927,0.77117,0.000713,0.000713,0.000713
67,1020.11,0.25316,0.16379,0.82151,1,0.9999,0.995,0.99238,0.14339,0.09553,0.77188,0.0006932,0.0006932,0.0006932
68,1035.31,0.24695,0.16285,0.81928,0.99937,1,0.995,0.99299,0.13969,0.09529,0.77125,0.0006734,0.0006734,0.0006734
69,1050.42,0.25107,0.16444,0.81966,1,0.99831,0.995,0.99265,0.13739,0.09369,0.76963,0.0006536,0.0006536,0.0006536
70,1065.63,0.24503,0.16247,0.81947,1,0.99994,0.995,0.99238,0.13742,0.09221,0.7705,0.0006338,0.0006338,0.0006338
71,1080.72,0.25052,0.16378,0.82223,1,0.99968,0.995,0.99239,0.13869,0.09328,0.77083,0.000614,0.000614,0.000614
72,1095.74,0.24604,0.15961,0.82006,1,0.9999,0.995,0.99278,0.13608,0.0895,0.77026,0.0005942,0.0005942,0.0005942
